timestamp,trigger,outcome,pnl_points,holding_time,sl_distance,tp_distance
2025-12-18 14:33:00+00:00,5m Confirmed Close: Opening Range Low,[SHORT] Hit Hard Stop 🛑 at 48054.00,-76.5,57.0,75.0,125.0
2025-12-19 14:09:00+00:00,5m Confirmed Close: Opening Range Low,[SHORT] Time Ejection ⏳ at 47993.50,-48.0,90.0,75.0,125.0
2026-01-08 14:04:00+00:00,5m Confirmed Close: Opening Range Low,[SHORT] Time Ejection ⏳ at 48828.50,-23.0,90.0,75.0,125.0
2026-01-14 14:01:00+00:00,5m Confirmed Close: Opening Range Low,[SHORT] Hit Hard Stop 🛑 at 49080.00,-76.5,21.0,75.0,125.0
2026-01-21 14:45:00+00:00,5m Confirmed Close: Opening Range Low,[SHORT] Hit Hard Stop 🛑 at 48451.00,-76.5,79.0,75.0,125.0
2026-01-23 14:33:00+00:00,5m Confirmed Close: Opening Range Low,[SHORT] Hit Hard Take Profit 🎯 at 49118.50,125.0,98.0,75.0,125.0
2026-02-11 14:55:00+00:00,5m Confirmed Close: Opening Range Low,[SHORT] Hit Hard Stop 🛑 at 50284.00,-76.5,34.0,75.0,125.0
2026-02-19 14:01:00+00:00,5m Confirmed Close: Opening Range Low,[SHORT] Hit Hard Stop 🛑 at 49543.00,-76.5,24.0,75.0,125.0
2026-02-23 14:15:00+00:00,5m Confirmed Close: Opening Range Low,[SHORT] Hit Break-Even 🛡️ at 49417.00,3.5,76.0,75.0,125.0
2026-02-27 14:49:00+00:00,5m Confirmed Close: Opening Range Low,[SHORT] Hit Hard Take Profit 🎯 at 48983.50,125.0,41.0,75.0,125.0
2026-03-02 14:06:00+00:00,5m Confirmed Close: Opening Range Low,[SHORT] Hit Hard Stop 🛑 at 48474.00,-76.5,73.0,75.0,125.0
2026-03-05 14:01:00+00:00,5m Confirmed Close: Opening Range Low,[SHORT] Hit Hard Stop 🛑 at 48666.00,-76.5,20.0,75.0,125.0
2026-03-06 14:31:00+00:00,5m Confirmed Close: Opening Range Low,[SHORT] Hit Hard Take Profit 🎯 at 47555.50,125.0,59.0,75.0,125.0
2026-03-12 14:02:00+00:00,5m Confirmed Close: Opening Range Low,[SHORT] Hit Hard Stop 🛑 at 47186.00,-76.5,40.0,75.0,125.0
2026-03-19 14:18:00+00:00,5m Confirmed Close: Opening Range Low,[SHORT] Hit Break-Even 🛡️ at 46113.00,3.5,49.0,75.0,125.0
2026-03-26 14:26:00+00:00,5m Confirmed Close: Opening Range Low,[SHORT] Hit Break-Even 🛡️ at 46067.00,3.5,41.0,75.0,125.0
2026-03-27 14:01:00+00:00,5m Confirmed Close: Opening Range Low,[SHORT] Hit Hard Stop 🛑 at 45825.00,-76.5,45.0,75.0,125.0
